;tweet_cleans;tweet_english;klasifikasi
935;mutusin pergi puskesmas udh pake salep fungiderm blm perubahan finally dokternya dikasih salep hidrokortison amoxcilin trihydrate chlorphenamine maleate;decided to go to the health center already using fungiderm ointment no change finally the doctor was given hydrocortisone amoxcilin trihydrate ointment chlorphenamine mal;Netral
936;panjangg kalo masuk kedokteran tu kating kasih ucapan welcome to the jungle congrats long life learner kalo si kejar dokternya dokter nikah gitu sih kalo nikah ambil spesialis;it's long if you go to medicine, kating gives you a welcome to the jungle, congrats long life learner, if the doctor chases the doctor, the doctor gets married, so if you get married, take a specialist;Netral
937;iyaya gak duduk aja santai nyaman dokternya biar gak capek;yes, don't just sit and relax, the doctor will be comfortable so you don't get tir;Negatif
938;dokternya halu gimana sembuh aowkwkwkkw;the doctor wants to know how to get well aowkwkwkk;Positif
939;dokternya kegantengan takut;the doctor is handsom;Netral
940;kakk kalo tau konsul spkk halodoc dokternya yaa;sis, if you know, the consul is spkk, hello, the doctor, okay?;Positif
941;wee ih knp bgini matinya song yuan nda kasi oksigen dokternya tau nd nafas;wow, why did song yuan die like this, the doctor didn't give oxygen and he knew how to breath;Negatif
942;kalo bertemu dokternya silahkan;if you see the doctor pleas;Netral
943;baper sm dokternya;good luck with the doctor;Positif
944;ya dokternya gila ngajak appoitment jam pagi dikata masuk sekolah ya;yes, the doctor is crazy asking for an appointment at morning when he says he's going to school;Positif
945;males minggu dokternya trus fo nya lembor tros nympe wae udh males;lazy week, the doctor then the fo it's overtime, it's arrived, it's already lazi;Netral
946;setauku ga eartip tinggal bilang dokternya steril konsultasi situ nanya eartip engga;i don't think it's eartip, just say the doctor is sterile, consult there and ask if it's eartip or not;Positif
947;ngegym practice back exercise super sulit kabur oiya alergi debu rumah skrg tidur tp dokternya tuh ngomongnya santai minum obatnya pas gejala aja tp kasih obat seember wkwkwk;going to the gym, practicing back exercise, super difficult to escape, oh yes, i'm allergic to house dust, now i'm sleeping, but the doctor says it's easy to take the medicine when you have symptoms, but give me a bucket of medicine wkwkwk;Netral
948;udahh kak makan udah diganti sesuai dokternya;have you eaten, it's been changed according to the doctor;Netral
949;diperiksa test vct sharing ama dokternya dongg;check the vct test, share with the doctor, pleas;Netral
950;robin dokternya obatnya;robin is the doctor, the medicin;Netral
951;kejadian gw pas ugd isoman gw disuruh cek lab swab tes paru kurleb jutaan gw nawar dok;what happened i passed ugd isoman i was told to check the lab swab lung test kurleb millions i bid dock;Netral
954;jadwal dokter antri dr dokternya msh blm dtg gini maju kualitas pelayanan kesehatan;the doctor's schedule is queuing for the doctor, the doctor hasn't arrived yet, the quality of health services is advanc;Negatif
955;opsi gak ngilangin komedo dimuka instan tp kalo rutin efeknya bagus muka opsi facial yg instan pastikan facialnya klinik kecantikan yg dokternya gw wanti wanti ya;the option does not remove blackheads on the face instantly, but if you do it regularly, the effect is good, the facial option is instant, make sure the facial is a beauty clinic that the doctor wants me to ask;Positif
956;kejadian gw pas ugd isoman gw disuruh cek lab swab tes paru kurleb jutaan gw nawar dokternya bawa cash berdalih gw anak kost sepakat tes swab lab doang wkwkwk;what happened when i was in isoman's emergency room, i was told to check the swab lab for a lung test, around millions, i offered the doctor to bring cash, arguing that i was a boarding house kid, i just agreed to do a lab swab test.;Positif
957;bolong gede trs dokternya bilang gpp ditambal masi bs ditambal mahkota giginya masi;the hole is big and the doctor says it can't be patched, the crown of the tooth can still be patch;Positif
958;cocok deh kayaknya coba konsul diganti obatnya dokternya;it's okay, it seems like the consul is changing the doctor's medicin;Netral
959;konsulnya ja sdh member erha sisanya ya tergantung hasil konsul km direkomendasiin dokternya pkai aja tp emg murah murah sih disana;the consul, if you are already an erha member, the rest depends on the results of your consul, it is recommended that the doctor use it, but it's really cheap ther;Netral
960;dokternya nanya keluhan berpikir konsul gitu santai kaya open sesi curhat nggak tekanan diburu;the doctor asked for a complaint, thinking the consul was relaxed like an open vent session, no pressure to be chas;Negatif
961;fotoin susternya;photo of sist;Positif
962;kl tb susternya yg ngasih obat cb chat beliau aj;if it's the nurse who gave the medicine, just chat with him;Positif
963;ttangga gw sakit tua susah mninggal krna masi pegang ilmu gw liat mukanya slalu takut salah org yg dlu ngusik warung bokap barusan dorong susternya kursi roda gw parah;my neighbor is sick and old, it's hard to die because messi holds knowledge.;Positif
964;bibirnya bagus banget shapenya spill dokternya;the lips are really good in shape, the doctor spil;Positif
965;si dokternya udh tua gmn tp sempet dicoba perawatnya ttp ga tp sempet cek darah cek alergi disedot gt lipetan tangan sih;the doctor is old, how about it, but i tried the nurse but it didn't work, but when i checked the blood, the allergy check was aspir;Positif
966;dokternya coba cuss asistennya kali aja jarumnya tumpul;the doctor, try to cuss the assistant, the needle is dul;Positif
967;paginya sabtu lgsg dokter mgkn dokternya gaenak ya blg omicron lol yg pntg uda nerima obat antibiotik mnrtku its okay;saturday morning, the doctor immediately went to the doctor maybe the doctor wasn't feeling well, blg omicron lol, the one who has received antibiotics according to me, its okay;Positif
968;bilang aja skincare yg pake gitu nnti dokternya ngebolehin nggak;just tell me the skincare that you use, the doctor will not allow it;Netral
969;nderr crita anak cowonya kena penyakit langka gt dokternya mencurigakan aja seingatku;nder the story that the boy has a rare disease, the doctor is suspicious, as far as i rememb;Negatif
970;pokoknya kalo yg copot bracketnya lo simpen dibuang sampe ketelen kalo ilang ya ganti bracket gue plastikin kalo copot simpen pas kontrol dibawa kasih dokternya;basically, if you take off the bracket, keep it, throw it away until it's too late, if it's lost, replace the bracket, i'll plasticize it if you take it off, save it when it's under control, give it to the doctor;Netral
971;lengkap dokternya aja deh bayar mahal ga konsul;complete with the doctor, don't pay a lot of money, don't you consul?;Positif
972;gunanya konsul dimix drugstore skincare skincare dokter full kalo udah dokter tu ikutin arahan dokternya sih;the use of the consul is mixed with the drugstore skincare, skincare, full doctor, if the doctor is already there, follow the doctor's direct;Positif
973;penasaran yg dokter yanti dokternya andin yg keren aktingnya;i'm curious, the doctor is the doctor andin, the acting is cool;Positif
974;ngga kasian dokternya;i don't care about the doctor;Positif
975;konsul dokternya aja;the doctor's consul;Negatif
976;dokternya aja;just the doctor;Positif
977;dikonsul aja sm dokternya gak kalo dicampur;just consult the doctor or not if it's mix;Positif
978;psikiater tuh sampe kek udh gabisa ngmg trs dokternya udh baca sndiri kalo jes tuh capek capek;the psychiatrist has come to the point where he can't help but the doctor has read it himself, if he's tired, he's tir;Positif
979;ya allah kedelai gaboleh ya disuruh dokternya makan kedelai ya ampunn kak makasih banyakk yaa;oh my god it's okay to eat soybeans, the doctor told me to eat soybeans, sorry, sis, thank you very much;Netral
980;gitu coba konsul aja dokternya;so, try to consult the doctor;Negatif
981;semoga aja sih dokternya nyabut gak merembet gigi yg;i hope the doctor picks it up and doesn't spread the tooth;Netral
982;dokternya udah konfirmasi bikin presensi aja kah fridh kelasnya may masi nunggu;the doctor has confirmed that you just make a presence, does fridh's class may still be waiting?;Negatif
983;ya kalo akar tinggal dikit kudu dicabut dokternya gak pengalaman anak ku;yes, if there is only a little root left, the doctor has to pull it out, no experience for my child;Netral
984;dokternya suka si;the doctor likes it;Positif
985;jam dokter dateng udh ngejen seneng tp ngejen salah bidan dokternya blg udh keliatan rambutnya buu sebentar lg buu ayo semangatt seneng diblg;when the doctor comes, it's already fun, but it's wrong, the midwife, the doctor, can't see the hair, please wait a moment, ma'am, let's be happy, pleas;Positif
986;jam udh buka lengkap tp blm ngejan dokternya blm dateng posisi kepala bayi dikit lg mbaa udah ngejen nggasi mbaa ya allah mbaa buu sabar ya bu blm ngejen nafas kyk kepedesan bu eh kebablasan ak ejan in;the clock is fully open, but i haven't pushed yet. the doctor hasn't come yet. the baby's head position is a little bit longer, ma'am, i'm getting ready, ma'am, oh god, ma'am, ma'am, be patient, ma'am, i haven't breathed like spicy, ma'am, i'm going too far, i'm straining.;Negatif
987;coba konsul dokternya jgn lupa ganti sarung bantal campur handuk yg muka badan okk;try to consult the doctor, don't forget to change the pillowcase and mix the towel with the face okk;Negatif
988;coba aja dokternya diresepin obat antibiotik jerawatnya gak mereda dokternya diganti langsung kinclong mukaku jarang jerawatan emang yg gak cocok apanya gitu pengalamanku sih;just try, the doctor prescribes antibiotics, the acne doesn't subside, the doctor immediately replaces it with a shiny glow, my face is rarely acne-prone, what's not right, that's my experi;Negatif
989;gw inget kehebohan pas kemaren obat av nya ga ramah lambung kumat seharian gw nangis ga makan sesek mual minum obat neror dokternya disuruh minum obat lambung untung vomizol rumah;i remember the excitement yesterday when the av medicine wasn't friendly to the stomach. i kept crying all day long. i didn't eat. i was nauseous. i took medicine. the doctor was nervous. the doctor was told to take gastric medicine, fortunately, vomizol at home.;Positif
991;mmm tauu sembuh gitu dikasih obat dokternya;mmm you know it's healed, the doctor is given medicin;Netral
992;si dokternya mah gitu;that's the doctor;Netral
993;aduh dokternya libur;oops, the doctor is off;Netral
994;scene papsur liat askara udh pagi lo ul mri prosedurnya gmn dokternya yg br masuk icu aja bentukannya kek;papsur scene seeing askara it's morning, lo ul mri, what's the procedure, how is the doctor who just entered the icu, what's the shape of it;Netral
995;dokternya bingung;the doctor is confus;Netral
996;konsul aja dokternya ditanyain alesannya ganti knpa alesan gantinya diterima dokter diganti;the consul, the doctor, was asked the reason for changing, why was the reason for being accepted by the doctor to be chang;Netral
997;gue gak sensasi panas dada asam lambung susah napas aja dokternya diagnosa kalo gue gerd ya;i don't have a burning sensation in my chest, stomach acid, it's hard to breathe, the doctor will diagnose me as a gerd;Positif
999;new york dokter dokternya isi mauku dokter manhattan tinggal menahan badai;new york the doctor the doctor fills me up, manhattan doctor just has to endure the storm;Netral
1000;beneren babu dokternya chat jam subuh kalo ga dibales doi ngambek;really, the doctor's babu chats at dawn, if he doesn't reply, he's cranki;Netral
1001;make sure ditebus obat aja info dokternya sih vit antivirus ngga beli totalnya kucheck daftar kemenkes vit gratis mayan sih selisih an;make sure you just pay for the medicine, the doctor's info, vit antivirus didn't buy the total, i checked the list of the ministry of health, the vit is free, it's a big differ;Positif
1002;dokternya pegel muka dioplas;the doctor is achy face surgeri;Negatif
1003;ngerepotin kalo susternya ngesot bang;it's a bother if the nurse suck;Netral
1004;tapie salah orang ya dek cepu tuh dokternya;but it's the wrong person, deck cepu, the doctor;Netral
1005;gitu deh perawat dokternya heran ya;that's how the nurse, the doctor is surprised, isn't it?;Positif
1006;gue mium mba disaranin makan nanas sm daun pepaya alhamdulillah mium nya ngecill stabil ga lg dibarengin konsisten pantangan makan bentuk kedelai note dr dokternya tp ttp minum obat smg kakany dpt jodoh cpt sembuh ya aamiin;i am drinking, madam, it is recommended to eat pineapple with papaya leaves, thank god, the mium is stable and not accompanied by a consistent abstinence from eating soybeans, a note from the doctor, but still take medicine so that you can get a mate quickly, amen, amen;Negatif
1007;larissa murah bgtt cocok kantong mahasiswa trs kadang dokternya ngasih paket facial gt;larissa is cheap, it fits the pocket of students, but sometimes the doctor gives you facial packag;Negatif
1008;dokternya parno pasiennya bawa penyakit emang sop nya wkkk;the doctor is parno, the patient carries a disease, the soup is really good, wkkk;Positif
1009;ga aneh yg diperiksa gigi pasiennya yg pake masker pasiennya dokternya mangan mangan masker;it's not strange that the patient's teeth are checked, the doctor wears a mask, the doctor does manganese mask;Negatif
1010;malem tidur kepikiran coy standby hp takut tbtb dikabarin dokternya cobaan yaallah;sleep at night thinking coy standby hp scared tbtb the doctor told me it was a trial, oh my god;Netral
1011;bimbingan guys update gapapa yg dpt ilmu td dibenerin salahnya sm dokternya hihi;guidance guys, update, what's wrong with what you got, the fault was corrected by the doctor, hihi;Negatif
1012;ct scan dokternya kemarin sampe jeti aktifin bpjs berlipat lipat;the doctor's ct scan yesterday until the jeti activated bpjs multipli;Positif
1013;beda vibesnya hosplay slice of life dokternya gt anyway bagus btw perangai karakter kim bum karakter doi law school cm childish dikit aja;the vibes are different, the hosplay slice of life, the doctor is gt anyway, it's good, btw, the temperament of kim bum's character, doi law school's character, only a little bit childish;Positif
1014;plis gue kena covid keknya ga cocok pake asetilsistein mending pake donexan deh gabisa tidur pake mukolitik tp dokternya disuruh minum bye bitj gue antitusif;plz i got covid, it doesn't fit with acetylcysteine, better use donexan, can't sleep with mucolytics but the doctor told me to drink bye bitj i'm antituss;Negatif
1015;anjir beneran ogut susternya pusing sih gimane coba;anjir is really ogut, the nurse is dizzy, how do you tri;Positif
1016;gmz beli obat sakit gigi yg org hamil resep dokter okelah periksa gigi stelah dapet obat dr dokternya dumin paracetamol;gmz buy a toothache medicine that is pregnant with a doctor's prescription, it's okay to check your teeth after getting medicine from the doctor, dumin paracetamol;Negatif
1017;stelah pindah klinik yg menyerahkan psa aja tangan dok spesialis pas dibuka giginya ngilu sampe nangis kejer gemeteran gemeteran sampe dokternya suruh remas tangan perawatnya aja karna kasian liat hamba;after moving to a clinic that handed over the psa, the specialist doc's hand when he opened his teeth, it hurts until he cries, he's shaking until the doctor tells the nurse to squeeze the nurse's hand because i feel sorry for y;Positif
1018;dokternya lho masak ga tau benjolan kepalanya gede buwaangeettttt loo bu;the doctor, you know, doesn't know the lump on his head is big, buwaangeetttt lol;Negatif
1019;kasih betadine kayanya coba konsul halodoc murah dokternya;love betadine, it's like try the cheap halodoc consul, the doctor;Netral
1020;giginya udah ditambal dibongkar ditambal ulang aja ngilu ga psa krna dokternya saranin ga psa berhubung giginya bagus;his teeth have been filled, disassembled, and re-patched, it hurts, doesn't it psa because the doctor suggested no psa because his teeth are good;Positif
1021;dokternya kah;is the doctor;Positif
1022;gigi berlubang dr pas medical checkup masuk smp ditegur dokternya ditambal tp bodo wkwkkw suka kambuh sampe skarang;cavities from when the medical checkup came in until the doctor was reprimanded but patched it up, but it's stupid, wow, it keeps coming back until now;Netral
1023;temen beruntun isolasi rs hotel wisma atlet yg;friends in a row in isolation at the athlete's guest house hotel hospit;Netral
1024;pagi jadwal kontrol dokter gara gara abis diopname ditanyain yg dikeluhin gue kalo batuk perutnya berasa perih kalo malem suka berasa ampeg sih trus dokternya ngomong kalo ampegnya tuh gegara anxiety disorder;in the morning the doctor's schedule was checked because after being hospitalized, i was asked what i complained about when i coughed, my stomach felt sore at night, i felt sick to my stomach, then the doctor said that it was because of anxiety disord;Negatif
1025;kalo dokternya bilangnya tuh kepalanya wkwkwkwkw;if the doctor said it was his head wkwkwkwkw;Netral
1026;negara emang ajaib ya kadang pasiennya ndikte dokternya;the country is indeed magical, sometimes the patient is dictated by the doctor;Negatif
1027;dokternya diceritain dokternya langsung ketawa dek adek sakit parah penyakitnya jarang kena tau sakit dok sakit cinta;the doctor told the doctor that he immediately laughed, my brother is seriously ill, he rarely gets sick, doc, love hurt;Negatif
1028;sakit disuruh baring sm dokternya ga beraktifitas;sick, told to lie down, the doctor didn't do anyth;Positif
1029;dokter ic gonta ganti mulu deh ndak yg permanen td bu dokternya kaku;doctor ic mutually changes mouth, isn't it permanent, the doctor is stiff;Negatif
1030;nonton ic lihat orang kerja masuk rekening puluhan juta tidur lihat orang keluarin air mata duit masuk rekening yg berkesan ketawa dokternya kesusahan jalan pekara heels dok pake sneakers biar enak jalanmu;watching ic see people working in accounts, tens of millions sleeping, watching people pouring tears, money entering accounts, which makes the impression that the doctor laughs, having trouble walking, wearing heels, docks, so you can walk comfort;Positif
1031;malu banget oi liat penjelasan dokternya;i'm really embarrassed to see the doctor's explan;Positif
1032;dokternya andin;andin's doctor;Positif
1033;kemaren yaa dokternya udh kalo pendarahan dikepala;yesterday, i was the doctor, if there was bleeding in the head;Netral
1034;stm prnah ngalami cabut gigi pas gusinya suntik nggak masuk kali nggak dokternya ngomong dek pnya ilmu kebal dibuka maaf dok anak stm listrik gak ilmu kebal ilmu kabel coba lgi berhasil urraa;stm has experienced tooth extraction, when the gums were injected, it didn't go in, didn't the doctor talk about the deck, the immune system was opened, sorry, doc, stm kids, electricity isn't immune, cable science, try again, it worked, urraa;Negatif
1035;kalo yg make produknya rekom face wash yg honey bee venom harganya murcee under awett kalo rangkaian wajah saranku ttp konsul dokternya yaaa;for those who use the product, recommend the face wash, the honey bee venom one, the price is low, it's under durable, if the facial series is my advice, please consult a doctor.;Positif
1036;ku cabut gigi gowa rumahku covid dokternya;i pulled a tooth at my house, covid, the doctor;Netral
1037;jum at pas abis dokternya jum at an;friday after the doctor finished on friday;Netral
1038;kcg ak bbrp bari udh sm gt minggu stlh steril udh dimandiin sm dokternya;kcg ak a few days already sm gt week after sterilization have been bathed by the doctor;Netral
1039;spill dokternya menderita;spill the doctor is suff;Positif
1040;mobil box putih ga pengen nabrak nino aja gitu biar kerasa ga yg jengukin susternya hahahaahhaah;the white box car didn't want to hit nino just like that so it didn't feel like visiting the nurse hahahaahhaah;Positif
1041;part konsultasi dokter langsung resepin obat vitamin dokternya fast respon informasi covidlagi omicron;the doctor's consultation part directly prescribes vitamin drugs, the doctor quickly responds to information on covid, again, omicron;Netral
1042;nunggu dokternya aldebaran;waiting for the doctor aldebaran;Netral
1043;aja sih dokternya disuruh;don't tell the doctor;Netral
1045;oke mamah kabarin udah janji dokternya yah;okay mom let me know the doctor's appointment okay;Positif
1046;salah fokus dokternya tampan;wrong focus the doctor is handsom;Positif
1047;gebukin dokternya mir;beat the doctor mir;Positif
1048;semoga lancar ya juna san san selese operasi dokternya nunggu san san bangun doakan san san cepet pulih ya;i hope it goes well, juna sansan, after the surgery, the doctor is waiting for san to wake up, pray for san san to recover quickli;Netral
1050;kegirangan bawa majikan pulang jalan ditelfon dokternya obat sisa df ketinggalan ya allah;excited to take the employer home on the road, the doctor called the leftover df medicine, god, i missed it;Negatif
1051;aduh bntr maaf yg rwp blm bales ya bingung dokternya gangangkay telpon gabida mastiin msh pengaruh bius mati bntr ya yg doain makasih;oh bntr sorry the rwp hasn't replied yet, i'm confused, the doctor is gangangkay, phoned gabida to make sure the anesthetic is still dead.;Negatif
1052;harian grgr kena cacar air gboleh mandi ama dokternya wkwk;everyday grgr has chicken pox, can't the doctor take a bath, woo;Negatif
1053;wkwkwkkk ember emang lumrah kampusnya kampus swasta kadang dokternya yg request gatau kebenaran nya gimana denger dr sepupu doang;wkwkwkkkk bucket, it's common for private campus;Netral
1054;dokternya kebingungan;the doctor is confus;Negatif
1055;ngga dibales pake beb sih dokternya;the doctor doesn't reply with a beb;Negatif
1056;emang topcer dokter wisnu gw udah paniq aja dibilang hb rendah uk segini tuh emang ngeluarin cairan wajar kalo hb turun dokternya gitu fyuh gak stress gw;is it true that the topcer, doctor wisnu, is already panicking, it's just said that the hb is low for this size, it's normal to have liquid discharge when the doctor's hb goes down, fyuh, i'm not stressed.;Positif
1057;keren dokternya bales beb;cool the doctor repli;Netral
1058;temenku kepala nya abis pake abis kecelakaan tp semenjak pake ngalamin aneh kyk yg manggil drnger org nyanyi trus dokternya disuruh zikir yg tau;his head friend has been using it after an accident, but since using it, he's had a strange experience, like the one calling the doctor, someone sings, then the doctor is told to do remembrance, who know;Positif
1060;the real hiburan dengerin cerita keluarga subang pas si tante abis op astagfirullah oh my god of course still remember he is my husband call my brother right now dokternya tenang bu panik;the real entertainment, listen to the story of the subang family, when the auntie is over op astagfirullah oh my god of course still remember he is my husband call my brother right now the doctor is calm ma'am pan;Positif
1061;dokternya udah jelasin kondisi aldebaran sobat;the doctor has explained aldebaran's condition, my friend;Positif
1062;nnaya ama dokternya gmna biar sakit dok;ask the doctor, how do you get sick doc;Positif
1064;dokternya impusan air sirup marjan cocopandan gw request melon diketawain;the doctor was forced to drink marjan cocopandan syrup and i asked for melon to be laughed at;Netral
1065;dokternya cewek unforgettable love yg xiao bao lucu sumpah pengen gue tu bocah kalo yg dokternya cowok begin again;the doctor is a girl, unforgettable love, the cute xiao bao, i swear i want to be a kid, if the doctor is a boy, start again;Netral
1066;engkong gue kasian banget ngerasa kenal ikrib dokter dokternya gak kenal;engkong, i'm really sorry, i feel like i know the doctor, the doctor doesn't know;Negatif
1068;udah cek dokter bener earmites kmrn choki kirain earmites pas dicek dokternya ga cm kotoran;i've checked the doctor, it's true that it's earmites, while choki thought that when the doctor checked the earmites, there wasn't any dirt;Negatif
1069;kalo kram tangan kaki gt mikir dioperasi beneran jelek pikiranku kalo lg sakit semaleman nangis gegara mikir hrs dokter trs sm dokternya suruh lgsng operasi gituu mah udah sembuh tp sakit muncul pikiran kek gt;if you have leg cramps, thinking about surgery, it's really bad, my mind is sick when i'm sick at night, i cry because i think the doctor has to, then the doctor told me to do the surgery right away, i've recovered, but it hurts, what's going on;Netral
1070;prodi kedokteran takut gimana koas udah lupa teori teori pre klinik takut dokternya molor kuliahnya mahal banget takut kalo dokter ga ngadepin pasien asli;the medical study program is afraid of how koas will forget the theory of pre-clinical theory, afraid that the doctor will be delayed, the course will be very expensive, afraid that the doctor will not treat the real pati;Positif
1071;betull tau gk sih dokternya ganteng;do you know the doctor is handsom;Negatif
1072;mencoba memberanikan ganti skincare bening clinic alasannya karna kena racun sepupu gue yg udh pake kliniknya dkt jalan pulang kantor ketiga dokternya gawl tp promosi terooosss;trying to dare to change the clear skincare's clinic the reason is because my cousin got poisoned by the clinic on the way home, the third doctor's office didn't work, but the promotion suck;Positif
1073;susternya yg jago aja nyalahin faktor gaib;sisters who are good at blaming supernatural factor;Positif
1074;hi donasi buka yaa mencapai target langsung klinik menyerahkan hasil donasi dokternya besok klinik karna kliniknya tutup jam sore td kesana magrib;hi, the donation is open, reaching the direct target, the clinic submits the results of the doctor's donation, tomorrow the clinic because the clinic is closed at dusk.;Negatif
1075;gatau knp tp feeling gue mark dokternya prim;i don't know why, but i have a feeling that the doctor's mark is prim;Positif
1076;sebel banget tambelan giginya lepas dokternya getol ngecornya;i'm really annoyed with the filling of her teeth after the doctor is keen on casting them;Negatif
1077;coba dokternya;try the doctor;Positif
1078;maaf mba ga liat foto td tergantung sih mba sya udh cerita psikiater kalo skip obat ga dilarang sih aja ama dokternya gmn pas ga minum obat trus catat kasi resep;sorry, madam, didn't see the photo, it doesn't depend, madam, i've told the psychiatrist if you skip the medicine, it's not forbidden, what about the doctor, what about when you don't take medicine and then write down the prescript;Negatif
1079;sengsara minum obat metformin eh dosisnya ditambahin sm dokternya;it's sad to take metformin, the dose is increased by the doctor;Netral
1080;tipe sakit langsung browsing google sok sokan mengobati trus dokter ngobrolnya banget gegara udah googlean untung dokternya ramah mengatasi kegelisahanku;sick type, directly browsing google pretends to treat then the doctor talks really bad because i googled it luckily the doctor is friendly to deal with my anxieti;Netral
1081;coba konsul sma dokternya dlu dokter pengalaman pake behel wktu lepas disaranin pake retainer harinya hrus pake kecuali wktu makan biar giginya ga brubah lgi posisinya stlh lepas behel;try to consul with the doctor first, the doctor has experience with using braces, it's recommended to wear a retainer the day before, except when eating so that the teeth don't change again after removing the brac;Netral
1082;langsung dokternya aja gak berani ngasih;the doctor didn't dare to give it straight away;Netral
1083;hamdallah orang cepet sadar kalo perubahan tubuh pas ngerasa beda langsung konsul halodoc dokternya it normal labia vulva orang beda beda kayanya ngomongin yg kek gini tabu suka sungkan kalo diskusi;thank god, people quickly realize that when their body changes when they feel different, immediately consult the doctor. halodoc, it's normal, the labia vulva of different people, it's like talking about things like this, it's taboo, i don't feel like discuss;Positif
1084;barusan sy reply tweet bu dokter eh miss tweety nya sy buka lg hilang tweet bu dokternya;i just replied to the doctor's tweet, eh, i missed the tweet, i opened it again, the doctor's tweet disappear;Positif
1085;inget operasi diinfus gagal susternya bilang ilmu ya dilepas ilmu bund ilmu pengetahuan sosial gagal ganti suster yg senior langsung berhasil;remember the iv operation failed, the nurse said science was releas;Negatif
1086;dokternya si bilang masi diliat seminggu iya xnsbs cek aja nama obatnya betahistine mesilate liat obatnya nanganin jan bilang entar kinap www;the doctor says it's still being seen for a week, yes, dbs check the name of the drug, betahistine mesilate, see the medicine, handle it, jan says it's getting better www;Netral
1087;dokternya emang gak hilang;the doctor is not miss;Netral
1088;dokternya senior dumssss;the doctor is senior dumsss;Negatif
1089;dikasih obat dokternya trus pas baca diagnosanya bipolar;the doctor was given medication, then when i read the diagnosis, he was diagnosed with bipolar;Netral
1090;hahaha dokternya dibius trus ngelem gigi;hahaha the doctor was sedated and then glued the teeth;Positif
1091;lebi kaget smlam dokternya blng jt smpe jt;more surprised at night, the doctor said no to million;Negatif
1092;iyaaa namanya paw tdinya pao eh dokternya nulisnya paw;yes, his name was pao, eh, the doctor said it was paw;Negatif
1093;dokternya gimana;how's the doctor;Positif
1094;dokternya udah terkenal udh tpi aja udh praktik dokternya bebas ngga ngikutin peraturan;the doctor is already well known, but he's already practicing, the doctor is free and doesn't follow the rul;Positif
1095;kl km butuh langsung kesini aja ya duren sawit pengen peluk dokternya aaaa;if you need it, just come here, duren palm wants to hug the doctor aaaa;Positif
1096;pengen mie pedes tp dokternya makan mie yg;i want spicy noodles but the doctor eats good noodl;Negatif
1097;dokternya ngebul ya;the doctor suck;Netral
1098;temen pura sakit dijelasin suster surat dokter yg beneran sakit ama pura sakit tuh kode nya gitu surat keterangan sakit suka coret an dokter belakangnya disitu dokternya ngasih kode pura sakit;the friend who pretended to be sick explained the nurse to the doctor's letter who was really sick or pretended to be sick, the code was like a sick certificate like to write down the doctor behind it, the doctor gave the code to pretend to be sick;Netral
1099;temen surat dokter nya kode dimengerti dokter suster kode pura sakit ketauan karna suster ga nerima surat dokternya temen ga dijelasin alesan nolak surat dokternya pas atasan komplain nnya suster dikasih tau susternya;friend, the doctor's letter, the code is understood by the doctor, the code for pretending to be sick, was found out because the nurse didn't receive the doctor's letter. the friend didn't explain the reason for refusing the doctor's letter, when the boss complained, the nurse was told by the nurs;Positif
1100;cabut gigi skrg makan yg susah dokternya kalo yg copot behelnya ditanyain wkwkwk;pull out the tooth now eat what's difficult, the doctor if the one who took the braces off is asked wkwkwk;Positif
1101;kalo sekolah ga kejadian horror nya pas kuliah praktek lapangan rs dinas malam temenku lift nya lantai gegara ngikut dokter situ lantai gudang kalo malem lampunya mati dokternya ga;if school doesn't happen, the horror happens when i study field practice at the night service at my friend's hospital, the elevator is on the floor because the doctor follows the doctor there, the warehouse floor at night when the lights go out, the doctor or not;Positif
1102;dokternya bilang gak minum obat sakit ya allah kesembuhan kekuatan biar gk sakit aamiin;the doctor said don't take pain medicine, god, healing strength so you don't get sick, amen;Positif
1103;praktik pemeriksaan dokter gini ya dokternya ga pake apd pake maskernya ga bener sumpah kali banget dateng klinik dokternya kayak gini;the doctor's examination practice is like this, the doctor doesn't wear an ppe and wears a mask, it's not right, i swear every time i come to the doctor's clinic like thi;Positif
1104;trus dokternya yg kek tekanan kunyah kuat gatau bangga malu;then the doctor who seems to have strong chewing pressure doesn't know he's proud and embarrass;Negatif
1105;jemput suki aja bilang ga diambil aja suki biar dokternya aja duitnya bis;just pick up suki, say don't take it, suki, just let the doctor get the money;Netral
1106;dokternya cantik auto pasien langganan;the doctor is beautiful, the patient is subscrib;Netral
1107;pake bpjs aja periksa dokternya gratis potongan beli kacamata puskesmas rs gitu dokter mata;just use bpjs, check the doctor for free, buy a discount for buying glasses at the hospital, like an ophthalmologist;Netral
1108;hahahah dokternya pulang aja;hahaha the doctor just go hom;Netral
1109;halo guyssss udh sampe boong sbenernya udh drtd tp gk dpt hospot dokternya ngga guys;hello guyssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss it's actually gone boong but i can't get the doctor's hotspot or not guy;Positif
1110;dokternya mark lee bu;mark lee's doctor;Positif
1111;dok hipotermia menyebabkan asfiksia membaca wajahnya bodoh sabar beliau nanya asfiksia dokternya jdi disuruh searching pas nemu langsung tau salahku;doc, hypothermia causes asphyxia to read his face, stupid, patient, he asked the doctor for asphyxia, so he was told to search when he found it, he immediately knew my mistak;Negatif
1112;ngk tau dokternya neth;i don't know the doctor;Positif
